adhar_id,passport_no,patient_disease_history,patient_admitted_date,patient_discharged_date
400030443347,120000001,"cold, Fever ",2020-04-21,2020-04-28
400030443348,120000003,"flu, Fever ",2020-04-28,2020-05-02
400030443349,120000004,"cold, flu",2020-05-15,2020-05-19
400030443350,120000005,"coughing, cold",2020-04-18,2020-04-27
400030443351,120000006,"abdominal cramps, fever",2020-04-18,2020-04-26
400030843352,120000007,"high fever, body aches, cold ",2020-04-16,2020-04-27
400030443353,120000008,"vomiting, fever ",2020-04-27,2020-04-28
400030443354,120000009,"cold, sneezing ",2020-04-26,2020-04-28
409030443355,120000002,"flu, cough",2020-04-17,2020-04-28
400030443356,120000010,"coughing, cold",2020-05-04,2020-05-08
400030443357,120000011,"abdominal cramps, fever",2020-05-05,2020-05-08
400034633474,120000012,"high fever, body aches, cold ",2020-05-08,2020-05-13
400030443358,120000013,"abdominal cramps, fever",2020-05-08,2020-05-15
400030994333,120000014,"coughing, cold",2020-05-08,2020-05-16
400033443344,120000015,"abdominal cramps, fever",2020-05-13,2020-05-18
400030443768,120000016,"high fever, body aches, cold ",2020-04-28,2020-05-01
400030443369,120000017,"cold, Fever ",2020-05-15,2020-05-19
400030443370,120000020,"flu, Fever ",2020-04-18,2020-04-25
400030443371,120000021,"high fever, body aches, cold ",2020-05-15,2020-05-19
400030443372,120000022,"vomiting, fever ",2020-04-18,2020-04-25
400030443325,120000023,"cold, sneezing ",2020-04-28,2020-05-01
400030443321,120000024,"coughing, cold",2020-05-15,2020-05-19
400030443323,120000025,"abdominal cramps, fever",2020-04-18,2020-04-25
400030443322,120000026,"high fever, body aches, cold ",2020-05-08,2020-05-13
400030443358,120000027,"high fever, body aches, cold ",2020-05-10,2020-05-15
400030443357,120080027,"vomiting, fever ",2020-05-12,2020-05-16
400030443359,120006582,"cold, sneezing ",2020-05-08,2020-05-15
400030443374,120006583,"cold, sneezing ",2020-04-27,2020-04-05
400030443375,120006584,"cold, Fever ",2020-04-26,2020-04-05
400030443377,120006585,"flu, Fever ",2020-04-27,2020-05-05
400030443378,120006586,"cold, Fever ",2020-04-26,2020-05-08
400030443359,120006587,"flu, Fever ",2020-04-09,2020-04-15
400030443385,120006588,"cold, Fever ",2020-05-07,2020-05-12
400030443399,120006589,"flu, Fever ",2020-04-14,2020-04-19
400030443392,120006590,"cold, flu",2020-04-28,2020-05-01
400030443334,120006591,"cold, flu",2020-05-15,2020-05-19
400024443344,128006560,"coughing, cold",2020-04-18,2020-04-25
450030443344,128006532,"abdominal cramps, fever",2020-04-05,2020-04-10
400830443344,128006562,"high fever, body aches, cold ",2020-05-05,2020-05-12
400560443344,128006563,"cold, Fever ",2020-05-08,2020-05-13
