email_id,information,link,place_name,no_of_infected_people
aksa@58gmail.com,10 new corona infected people found in meerut,www.facebook.com,meerut,110
aamir@59gmail.com,10 people got discharged from hospital in delhi,mail.yahoo.com,delhi,109
akshay@54gmail.com,17 new cases found in noida,mail.yahoo.com,noida,223
ansu@53gmail.com,3 people got discharged from hospital in gaaziabaad,www.instagram.com,gaaziabad,17
anshi60@gmail.com,"12 people came back to saharanpur, India from China and 2 people found corona positive from them",www.instagram.com,saharanpur,29
anshi60@gmail.com,1 new case found,www.instagram.com,mujjafarnagar,18
aaliyai663@gmail.com,1 new case found in baghpat,www.nytimes.com,baghpat,27
sagar@gmail.com,4 new corona positive cases found,www.nytimes.com,bijnore,10
sarthak71@gmail.com,22 new cases found in Maharashtra,www.facebook.com,Maharashtra,1200
sakar71@gmail.com,3 new cases found in gujraat,www.facebook.com,gujraat,38
shivam62@gmail.com,1 new case found yesterday in shaamli,www.nytimes.com,shaamli,28
shubham63@gmail.com,the  no of infected people has crossed1000,www.nytimes.com,up,1000
sanjay661@gmail.com,5 new cases found,www.facebook.com,noida,80
shila658@gmail.com,1 person died in every 10 minutes in Italy and there is so much bad condition that they can't admitted the people who is more than 80 yrs old,mail.yahoo.com,Italy,200000
vikiiii18561@gmail.com,lock down can be restart in china as 5 new cases found positive,mail.yahoo.com,china,100000
shyam641@gmail.com,lock down has finished in china,mail.yahoo.com,china,800000
shiva69@@gmail.com,2 new people found infected,www.nytimes.com,gaaziabad,18
sheenu70@gmail.com,205 people got infected till today in saharanpur,www.nytimes.com,saharanpur,205
aashika71@gmail.com,10 new cases found in mujjafarnagar,www.facebook.com,mujjafarnagar,25
vinit58@gmail.com,5 new cases found in noida,www.facebook.com,noida,230
