adhar_id,mobile_no,email_id,media_post,post_date
400030443344,7031254658,aksa@58gmail.com,28  new infected people found in new delhi,2020-05-03
400030443345,7031254659,aamir@59gmail.com,total 56000 people  infected  in India,2020-04-12
400030443346,7031254654,akshay@54gmail.com,in noida 35 new corona infected people found,2020-03-18
400030443347,7031254653,ansu@53gmail.com,a corona infected person run away from the hospital,2020-04-06
400030443348,7031254660,anshi60@gmail.com,the no of infected person has increased by 48000,2020-03-08
400030443349,7031254668,afshi60@gmail.com,all colleges are closed due to corona till 17 may,2020-04-12
400030443350,7031254663,aaliyai663@gmail.com,lock down has increased till 17 may 2020,2020-02-25
400030443351,7031254641,shyam641@gmail.com,lock down can be start from 1 april,2020-03-27
400030443352,7031254669,shiva69@@gmail.com,5 corona infected person run away from the hospital,2020-04-23
400030443353,7031254670,sheenu70@gmail.com,the no of infected person has increased by 78000,2020-04-21
400030443354,7031254671,aashika71@gmail.com,all colleges are closed due to corona,2020-04-17
400020443358,8865963458,vinit58@gmail.com,lock down can be increased,2020-04-06
400020443359,8865963459,sagar@gmail.com,12 corona infected person run away from the hospital,2020-04-14
400020443360,8865963460,sarthak71@gmail.com,the no of infected person has increased by 58000,2020-04-12
400020443361,8865963461,sakar71@gmail.com,America is the new target of corona,2020-03-11
400020443362,8865963462,shivam62@gmail.com,15 people has admitted to hospital,2020-03-16
400020443363,8865963463,shubham63@gmail.com,28 people has discharged from hospital in delhi,2020-03-18
400020443364,8865963464,sanjay661@gmail.com,in noida 55 new corona infected people found,2020-06-04
400020443365,8865963465,shila658@gmail.com,a corona infected person run away from the hospital,2020-03-08
400020443384,8865963466,vikiiii18561@gmail.com,the no of infected person has increased by 59000,2020-04-17
400020443365,9758063528,vinii1861@gmail.com,2 new infected people found in meerut,2020-03-18
400020443383,9758063529,vipul11@gmail.com,10 new infected people found in new delhi,2020-06-04
400020443382,9758063530,star581@gmail.com,total 43000 people  infected  in India,2020-03-08
400020443381,9758063531,kannu81@gmail.com,in noida 35 new corona infected people found,2020-04-17
400020443384,9758063532,ketu691@gmail.com,lock down has been increased till 17 april,2020-04-06
400020443385,9758063533,shipra756@gmail.com,lock down has been increased till 17 april,2020-04-14
400020443386,9758063534,shaguniii861@gmail.com,lock down has been increased till 17 april,2020-04-14
400020443387,9758063535,kapil691@gmail.com,lock down has been increased till 17 april,2020-04-12
400020443388,9758063536,peehu78@gmail.com,corona infected people are increasing and the no of infected person has crossed 65000,2020-04-17
